anime_id,numberofviews,popularity
177,5182,505
30454,86,5973
35839,1471,765
23581,11,9688
21179,19,9142
25541,1,11754
275,1030,2915
3784,7054,295
3665,261,3620
2307,91,6623
16419,230,3675
34126,1089,1345
2165,32,6353
3918,579,3252
4534,17,8974
2138,144,5354
2059,30,8505
280,20,7129
1699,3130,740
32365,1226,1701
11103,590,3584
16067,5083,195
760,980,2852
28625,914,1587
317,9352,500
5054,92,6144
32271,582,1056
8995,455,2872
32951,3791,287
19067,52,4927
32999,7,10323
8894,301,4232
303,720,2841
744,115,5719
958,361,3352
5419,459,4142
23213,170,4900
34051,1040,1109
34537,407,2300
31838,21,7407
8560,1114,2392
4085,17,8528
16021,2,12201
30300,1963,1196
18153,9353,75
16656,366,4118
33981,80,5698
2200,37,6734
1276,184,4807
8635,198,5279
34618,2674,440
4729,47,8185
1719,2612,1554
2227,156,5669
1481,129,6534
23775,987,1580
17549,3678,395
3010,389,4390
31377,11,10201
33027,78,4534
8955,3,10407
4550,1649,1909
8206,159,4267
32961,241,2563
8410,308,3375
34984,1433,882
34013,68,5835
16742,7352,150
30625,15,8056
12437,313,3958
19697,568,2761
2036,64,6652
3661,23,8767
5841,1,10980
5369,429,4594
4101,5,9319
103,271,3812
35472,49,6911
24211,1714,1354
94,2939,1097
31143,758,2525
385,622,2171
1777,172,5863
32670,2,8743
24913,1070,2208
31178,348,2565
6783,325,3610
248,3553,1066
5762,522,3053
1961,469,3191
3974,1765,1312
9624,1453,1743
36245,432,1881
11441,630,2913
29846,1,10594
35206,20,8030
2288,174,5004
11735,51,7577
32214,559,2017
3642,270,5226
9136,2173,1108
17080,302,3103
7044,1035,2257
24713,414,4461
2518,53,6632
3011,667,3789
31592,554,2050
33529,2,13797
27829,1522,913
31378,701,1997
9884,23,6816
33113,156,3010
1243,683,2462
34741,1,9662
2929,87,5711
16664,1677,1106
2851,56,8175
28779,254,4024
31402,33,6941
33835,1,11771
6726,130,5869
6205,5949,432
935,2202,1070
3762,16,9505
531,2061,1783
1926,145,6916
25689,325,3341
25939,469,2953
17681,613,2588
36784,93,5470
1770,79,7215
944,578,2964
14813,10884,74
441,1183,2224
32087,8,10316
3015,345,3934
34855,672,2309
21421,393,3188
1368,531,3647
623,81,5536
5947,1257,2535
12069,1139,2258
31404,4027,307
538,1232,2315
7785,2696,421
10790,6446,293
4522,31,9217
325,2130,1362
8539,6,10455
35363,1413,1498
1807,759,2762
9741,800,2984
9203,1158,2234
7222,886,2663
1135,488,3851
33779,8,10825
23301,445,3123
6512,6489,462
5554,5,9804
31763,642,1818
15781,194,5636
19401,14,8328
1177,631,2703
1408,529,4025
1005,471,3690
2688,47,6381
2289,51,7264
3407,1681,1271
11785,4630,363
1098,357,4158
9907,843,3213
5504,691,2702
2999,58,7664
36049,945,1347
4264,73,5065
3745,141,6052
10465,889,1712
9600,86,6894
332,70,6366
8626,150,6839
2882,68,7726
6574,1796,1546
19945,160,4917
5940,3544,811
22239,5,11076
3932,8,9292
10765,153,4848
932,456,4522
10378,1855,1388
5080,561,4008
33589,459,2052
5583,338,5098
7588,1287,1507
31780,292,4739
10845,327,4030
1337,24,6520
33605,408,1927
261,596,3509
4664,337,4069
27741,109,5044
23699,1,11584
930,102,4092
17391,551,3297
20613,257,5868
10196,1101,2602
10728,78,6850
25099,2328,682
22865,2465,820
15979,103,5257
616,27,7028
752,468,4483
27683,3,12571
35382,489,2384
5784,721,2555
1919,121,5827
10260,340,3460
4017,44,8064
31139,294,4185
145,3135,702
8800,227,5248
2107,2210,1832
34893,18,7119
28817,1152,1326
37710,12,9032
32366,828,1979
673,637,3692
13411,2643,1238
3713,2073,1131
1826,234,3175
22585,1,11757
6896,1810,1910
20853,4533,326
1723,5188,749
4451,48,8049
4936,150,5876
33478,747,1213
2404,4166,815
208,2419,1590
25365,188,5437
22503,2,10661
11235,3111,911
36545,38,6727
18097,214,2988
152,744,2583
14231,28,8971
17371,256,4374
32888,5,8805
17113,26,8149
30382,191,3041
12699,153,5696
31181,3312,393
24459,1145,2082
3808,8,10121
1289,166,4857
82,1204,2124
10568,4212,494
2515,486,3803
2696,66,7244
2698,76,6712
33803,118,5001
34979,16,9099
7583,139,5771
8546,30,8618
498,110,5869
6181,40,8699
8357,1,11189
11341,458,3226
33209,151,4244
30103,46,8603
17821,1126,1722
6199,127,6172
2757,40,7994
13271,2106,1283
20385,11,9519
18639,52,6811
8098,364,3693
34312,73,6361
27633,2142,1146
17469,1,11656
21419,542,2751
18121,882,2610
1874,356,5200
5525,4179,552
16381,141,5860
1937,66,7934
2363,1009,2788
34870,125,6053
2782,273,4206
54,2969,1425
32039,256,4031
5945,225,3649
8491,174,5135
1014,217,5192
6075,18,9062
6344,486,3533
33104,29,7566
13643,68,7091
10217,162,4546
424,262,3300
164,14286,79
605,98,5025
855,2806,959
18231,131,5534
13115,853,1868
8364,66,7288
670,1375,2022
718,225,5007
35434,541,1816
2712,5,10962
25055,105,6025
13391,1579,1297
2030,989,1857
18195,2594,901
21479,36,7528
30379,391,3226
384,6160,355
2684,256,4529
11113,2260,1629
2786,43,7022
5052,16,8615
12343,60,6823
32041,13,9932
31829,15,8427
7643,5,7552
33190,257,2665
1500,344,4389
31318,1351,1027
1117,6035,885
903,3527,1171
35069,288,2994
36846,2,14139
33021,295,3832
1056,346,4993
917,429,3768
7148,4229,684
31804,1124,1460
2229,374,3430
2490,1626,2483
17679,215,4725
4056,54,6920
1725,244,5273
32410,99,4222
117,526,3411
8756,366,3718
1864,165,4251
6773,3977,490
31499,216,2623
1935,198,3849
10050,195,5594
585,4589,648
551,693,2836
690,745,2343
33511,98,2691
31091,1080,2035
6902,14,7277
329,2337,599
25143,366,3316
6882,925,3323
3023,17,8458
2680,1314,2693
4929,11,9073
23605,409,2074
19877,10,8505
126,963,2379
7248,192,5327
14407,1825,1287
12867,91,6273
869,857,3130
3087,2796,1248
4038,600,2059
33197,679,1889
24695,1057,2241
1707,289,3929
13215,98,5536
28077,143,6755
10207,58,8432
8362,97,6624
33046,403,2328
2212,200,4878
27947,329,2164
1803,145,6229
13403,2315,1373
4188,839,2556
1413,188,5246
2563,1151,2389
24909,168,4018
24373,7,10640
133,4417,935
2400,180,4337
18495,828,1922
4033,368,4154
603,662,2470
34262,900,1343
2238,716,3124
3692,140,4921
31410,3,9440
6676,1928,1542
1902,386,4722
360,146,5199
278,219,4242
30751,34,8409
431,15130,89
14181,9,10712
2758,12,9142
411,1601,1465
30091,1132,1062
34825,890,1389
1660,81,5620
2336,502,4019
36101,5,13043
27911,756,2254
18343,237,4077
4209,162,5132
10048,80,5855
2870,277,4926
33278,2,10815
375,184,4984
33490,50,6792
3258,106,5991
33758,9,8732
23989,298,3462
23555,2,10100
10659,1172,2108
13125,6062,114
2017,215,5068
28249,3468,352
1816,1578,1871
256,4969,828
2771,12,8251
23353,1,12097
15905,6,9075
17815,242,6079
4765,781,2828
3271,63,7430
3836,56,7706
13331,3126,807
8909,232,4575
8563,1,10041
33498,9,10540
526,316,3828
3313,43,8234
34373,2,13094
1156,339,4266
9366,2992,1212
35805,18,7543
9855,38,7975
17115,636,2749
5097,536,3699
4415,1607,1776
24531,355,3216
467,5659,273
36692,11,8000
17643,939,2653
2207,90,7132
33087,3,7675
34830,9,3860
21435,466,3000
3549,885,2030
31927,157,4189
1365,1477,1833
10547,562,3728
1490,147,4176
6872,64,7184
12347,57,6997
1292,5528,449
21431,4659,357
746,2030,1967
8514,2713,1528
6637,3970,847
1709,3001,1579
33362,207,3719
5204,4733,746
8324,4,10762
37044,13,8132
12899,1,11058
1572,155,5281
34280,3332,317
30066,6,10846
33038,13,5232
17895,7111,124
1729,694,3137
1621,95,7591
2042,281,4253
25345,283,3404
5908,7,10222
10359,23,6215
1082,281,3671
1582,103,6840
33712,2,4104
15613,1682,1114
31174,1241,887
34771,42,4642
6920,586,2866
13709,709,2106
2019,55,7531
1832,141,5820
2333,80,6212
12549,5202,302
36291,14,8584
22961,2145,1120
3605,35,8721
5088,9,9841
898,3883,1099
272,2130,1067
9598,898,2616
11751,1610,1280
2449,887,2207
15201,1162,1410
30825,222,4869
3673,700,2359
27567,36,7611
8728,994,2551
31845,1526,731
8630,5940,324
22335,357,4399
33247,59,6502
9212,5,10778
980,96,5676
37505,131,5120
24705,1681,929
3065,30,8538
28227,101,5535
34915,176,3539
35285,56,5265
26055,3711,400
3003,149,6681
23233,4613,243
32601,389,2789
6701,4,11062
841,693,2944
1090,789,2862
1211,466,3673
1930,172,5435
21835,104,4110
12055,338,3764
15989,535,3608
1329,56,7031
15437,2625,1165
99,1906,1765
36234,1,13970
32696,1212,1253
1973,58,7381
32323,437,2123
29513,547,3289
5114,18133,4
6288,1916,1706
16331,391,4728
35712,1162,940
22031,14,9483
9865,354,3730
19959,14,10105
32735,67,6444
12671,721,2735
1023,2364,1671
9288,225,5269
34006,3,3547
34497,2029,557
1254,2612,899
19257,491,2361
25,2065,1008
929,78,4787
1021,265,3792
18391,27,8047
23787,342,3877
17437,564,2996
668,428,3425
2095,29,8693
32816,41,7433
31417,352,2792
20371,846,1999
30757,108,3206
31588,946,1309
1604,5149,173
12877,80,6717
4548,1952,947
22043,3575,120
30230,1138,1384
456,421,3172
34647,377,4155
33419,179,4002
31807,11,11033
3077,20,6661
25161,1510,1711
7712,150,5614
25973,19,11370
31111,37,8784
635,530,3304
1848,36,6883
13239,296,4446
32175,823,1691
1030,1816,1658
34611,212,5450
36777,5,5244
6479,1137,2849
13283,463,3516
27927,353,3563
10216,1816,1488
4985,1148,2447
529,2323,1202
1361,4305,1365
33929,1011,1468
5645,49,7489
10504,390,3594
36491,17,8480
35333,1,3159
32423,143,4764
4066,472,3057
29807,110,5455
36502,73,4782
28121,9470,62
2273,1950,1744
6213,7111,220
5020,531,3363
2824,35,9090
4200,150,5577
9940,68,7807
19159,494,3502
12037,7,11066
33474,2,11165
334,804,2102
31980,844,2435
116,491,3505
36823,80,6104
5914,1028,2202
6050,560,2901
895,3695,1233
1591,417,3655
604,287,4188
2927,2664,1214
2237,856,3062
3430,348,4320
32574,549,2659
31414,1551,893
137,2768,1198
6993,68,8503
1047,1150,2842
597,4971,719
15811,761,2633
32740,332,3474
24625,601,2400
3604,918,2533
4181,14199,55
1303,2808,1514
3545,118,4301
36297,11,10706
32899,2118,589
1070,103,4430
31715,1676,1483
465,2299,1781
167,2191,1199
10638,2127,1742
7793,16,8417
36468,114,4874
23137,57,5701
34239,34,6992
33080,1311,1575
33213,5,10938
21085,3589,573
10324,102,6561
34888,47,7733
6234,471,3962
35220,515,1830
1055,702,2698
19367,1410,1676
6684,23,9609
33447,313,3518
33975,36,7644
5231,1079,1181
2708,1,12154
34863,171,3170
10155,3405,691
34028,165,3732
35559,165,4886
31418,430,2541
28,1696,1301
30390,10,8192
2124,1751,2284
33979,101,5764
1474,208,5235
14127,223,4166
6500,3879,397
32195,13,9141
1931,152,5584
14093,805,2248
5902,1061,2545
31933,2781,432
462,2801,1535
4211,9,8573
1526,3074,1363
12175,3240,696
1722,2384,1328
8516,6711,298
26359,212,4208
6774,1117,1458
22377,222,5280
942,406,3315
16001,5135,585
6397,7,10152
4890,177,7148
36010,44,6670
6031,14,8638
35860,1584,654
8110,388,3554
19029,311,3881
23619,678,2648
12355,7831,148
811,1154,2699
1097,305,4195
367,100,7017
6718,19,8240
27681,1,12897
34720,1,13412
31618,51,8087
7748,1350,2061
3630,5,10284
5028,1394,1835
22699,161,4263
35612,3,12274
20479,818,2516
25157,5588,162
1397,573,2747
9346,21,7007
212,409,3654
1107,696,2769
35676,295,4203
8609,413,3665
20449,1782,1466
28179,227,5037
6201,4532,645
15085,3546,467
8041,2,10192
2112,1285,2000
36220,831,1377
25073,1,12036
16472,206,4430
3469,381,4458
26395,606,3185
508,1203,1917
134,4019,655
20651,1386,1736
6408,1911,1556
9253,15782,8
928,220,5697
470,647,2882
30850,40,7205
32869,303,3200
6635,152,4974
32555,496,2303
5597,963,1898
35522,102,6032
6095,18,9514
34613,17,8112
5118,3295,1051
22125,1037,2265
27775,5203,155
324,383,2629
32871,200,3408
22693,52,5010
2834,72,6282
1727,880,2305
1384,560,3293
3086,1229,2621
21809,818,1689
970,92,5567
759,3947,679
372,3320,1091
12267,13,8686
7523,8,10539
11491,1685,1930
1822,148,4871
36548,1193,973
2221,169,4963
14145,313,3643
37590,27,6849
32191,192,5093
114,2130,992
29163,832,1986
21073,231,4390
2545,65,8392
23327,1902,992
868,816,3159
665,834,2103
203,319,4555
1241,1106,2822
12237,140,5387
943,188,4393
5013,13,10018
1530,7035,402
32826,69,7672
285,337,2950
3660,28,7703
31442,4000,275
6078,9,9703
1038,83,7209
23319,771,2274
253,783,2359
45,6791,240
419,1735,1707
83,514,3782
2923,3671,583
22789,7007,176
30702,169,5153
2516,130,5745
1427,160,5775
10406,176,6687
1251,871,1965
34914,1952,774
10390,148,4513
32944,2,9888
4586,56,8287
2398,1803,1852
11783,2149,1193
321,537,3556
32915,567,2358
10083,2381,1624
3570,28,7430
3114,7,9255
8456,522,3197
8339,453,3886
37000,8,10776
25867,1026,1350
34277,971,1846
31994,675,2856
21511,2645,591
2889,7778,512
2951,2042,1931
148,185,4359
27957,1738,1494
30663,17,9489
23289,8608,109
35254,24,8246
466,1288,2650
34877,2,11321
2222,220,4139
23643,5,12052
19775,3173,522
25597,2,12654
10067,7083,489
17729,4807,248
762,4834,964
3655,3362,681
451,3089,1352
839,80,7379
18617,979,1626
4074,29,8661
33950,478,2870
32916,1,13260
8250,75,6984
3323,948,2779
13601,11476,29
6604,49,5839
34543,404,2183
473,236,4767
22359,273,2732
35251,208,2494
36039,453,1926
16904,2983,600
8449,1978,1306
34374,180,4017
8426,1714,1141
23673,4438,357
1157,1045,2180
12921,195,5800
7770,152,5271
11209,1055,2030
12729,3378,641
36586,2,13574
9750,2482,923
34902,3543,311
29687,11,8934
29865,30,6799
18419,152,6115
4306,44,7136
31289,692,2795
20971,448,2743
6462,38,8609
8425,6652,201
2603,543,3283
953,1789,1491
31861,42,5816
13759,9835,65
27969,346,2938
10832,153,5423
196,3576,1226
14183,3,10431
30543,79,6087
1186,195,4647
8065,4,10567
10595,7,7304
31995,116,5834
5673,28,8065
3701,1296,1072
26019,112,5070
2709,76,6788
6657,181,5735
15823,4,11590
815,941,2989
20801,261,3589
34812,103,5389
3561,32,7842
3325,21,8332
13799,216,4827
6895,3226,773
31633,219,3619
5526,1837,2413
9587,2410,1334
1234,147,5971
3613,1502,1598
3391,3,7537
27419,195,4905
3000,169,4543
6768,934,2139
35498,99,5206
43,9001,174
27831,3992,385
17637,693,2969
15389,28,9259
23383,1470,1821
32897,1,12796
31018,47,6684
572,6721,407
2804,37,7639
9333,395,4653
17843,278,4507
2050,138,5566
819,2020,2053
4496,63,7515
4581,2745,993
1544,142,5999
1608,165,4787
3219,367,4782
11285,6255,283
35557,1725,651
1872,23,8767
2926,5203,615
36191,13,10222
1661,173,3773
25991,82,7729
21737,151,5644
34240,4501,508
31456,419,1651
9958,1229,2273
5353,29,8431
9124,282,4659
33685,44,6398
34021,178,3453
5053,74,5945
11659,19,9094
565,2244,1526
1218,1762,1905
32171,391,2040
11185,163,4468
31564,762,1775
33500,3,12307
13137,130,5222
5702,1124,2145
7337,1406,1696
17727,75,6370
17585,171,4824
18745,1063,2465
20543,928,2192
8234,105,6114
21235,399,3271
10611,1960,1234
22695,142,4409
3137,87,6603
3162,42,7440
9922,1824,1295
502,1946,1848
688,728,2758
1635,371,4480
7160,2,9180
1235,393,4828
8408,5383,711
2158,1119,1691
19429,3547,480
3670,200,4748
838,555,2510
36197,1,8103
10017,816,2605
35250,199,2514
7582,65,6657
29301,235,3643
12461,1556,1175
795,281,2935
5570,15,9228
27939,181,4923
34085,223,5404
34639,48,6240
55,400,3417
34944,36,2424
22955,41,4176
33125,85,5572
23679,34,7406
26449,460,2809
23945,1253,1583
1236,42,7442
13599,3360,645
3466,1248,2320
8832,2,11065
31989,254,3349
1375,277,4122
21677,965,1521
33236,16,10842
16868,1499,1891
27709,79,6616
2176,160,5407
31909,324,4643
454,899,2894
1878,79,5426
2965,150,4200
28999,8662,72
6421,3101,957
33672,14,8673
6868,1,10485
10714,1086,2413
29809,169,4439
35182,98,5269
84,1006,2362
23225,1254,1751
2262,228,5556
629,263,4743
2577,157,5769
2185,139,6067
28351,231,5482
266,443,3471
3019,150,5736
1281,1496,1267
175,787,2612
11859,621,2253
257,3960,832
3911,111,6937
5877,89,6321
2100,91,6880
4082,534,3950
16774,1779,1379
934,11375,97
12963,34,6872
29575,425,2837
22777,1181,1164
1120,3031,1427
1634,460,4135
11771,9179,85
34733,183,4358
34766,34,7027
28859,74,5832
30100,245,3593
27787,5444,235
3229,3357,1039
8841,10045,129
18939,1,12177
390,3069,1037
