anime_id,title,title_english,image_url,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,licensor,studio,genre,duration_min,aired_from_year,numberofviews
32402,Mim Mam Mint,,https://myanimelist.cdn-dena.com/images/anime/12/77757.jpg,Original,4,Finished Airing,f,"Dec 24, 2015 to Mar 25, 2016","{'from': '2015-12-24', 'to': '2016-03-25'}",Unknown,G - All Ages,3.58,12,11251,10529,290,2,Winter 2016,Thursdays at 21:55 (JST),Tokyo MX,,Kachidoki Studio,Comedy,0,2015.0,2
7110,Shounen Maid Kuuro-kun: Tenshi no Uta,,https://myanimelist.cdn-dena.com/images/anime/2/26314.jpg,Manga,1,Finished Airing,f,"Sep 23, 2010","{'from': '2010-09-23', 'to': '2010-09-23'}",35 min.,Rx - Hentai,5.76,6265,,3329,12780,82,,,Zyc,,Natural High,"Hentai, Yaoi",35,2010.0,615
34321,Fate/Grand Order: First Order,Fate/Grand Order -First Order-,https://myanimelist.cdn-dena.com/images/anime/6/82651.jpg,Game,1,Finished Airing,f,"Dec 31, 2016","{'from': '2016-12-31', 'to': '2016-12-31'}",1 hr. 14 min.,PG-13 - Teens 13 or older,6.97,39215,3668,1190,68559,144,,,"Aniplex, Notes",Aniplex of America,Lay-duce,"Action, Supernatural, Magic, Fantasy",74,2016.0,1909
35658,Kuroko no Basket: Last Game NG-shuu,,https://myanimelist.cdn-dena.com/images/anime/9/86001.jpg,Manga,1,Finished Airing,f,"Sep 27, 2017","{'from': '2017-09-27', 'to': '2017-09-27'}",2 min.,PG-13 - Teens 13 or older,7.8,431,880,5049,4585,8,,,Bandai Visual,,Production I.G,"Comedy, Sports, Shounen",2,2017.0,42
28853,Pokemon: Pikachu to Pokemon Ongakutai,,https://myanimelist.cdn-dena.com/images/anime/6/71600.jpg,Game,1,Finished Airing,f,"Jul 18, 2015","{'from': '2015-07-18', 'to': '2015-07-18'}",15 min.,PG - Children,6.32,791,6319,6536,2326,0,,,,The Pokemon Company International,OLM,"Adventure, Fantasy, Kids",15,2015.0,91
18857,Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials,OreImo. Specials,https://myanimelist.cdn-dena.com/images/anime/9/51167.jpg,Light novel,3,Finished Airing,f,"Aug 18, 2013","{'from': '2013-08-18', 'to': '2013-08-18'}",24 min. per ep.,PG-13 - Teens 13 or older,6.56,60174,5388,936,90626,135,,,Aniplex,Aniplex of America,A-1 Pictures,"Slice of Life, Comedy, Romance",24,2013.0,3976
4062,Musashi no Ken,,https://myanimelist.cdn-dena.com/images/anime/5/22398.jpg,Manga,72,Finished Airing,f,"Apr 18, 1985 to Sep 26, 1986","{'from': '1985-04-18', 'to': '1986-09-26'}",20 min. per ep.,G - All Ages,7.35,240,2246,7743,1303,6,Spring 1985,Unknown,,,Eiken,"Shounen, Sports",20,1985.0,19
9539,Cardfight!! Vanguard,Cardfight!! Vanguard,https://myanimelist.cdn-dena.com/images/anime/11/41625.jpg,Original,65,Finished Airing,f,"Jan 8, 2011 to Mar 31, 2012","{'from': '2011-01-08', 'to': '2012-03-31'}",24 min. per ep.,PG-13 - Teens 13 or older,7.2,13016,2799,2077,30986,241,Winter 2011,Saturdays at 08:00 (JST),"Dentsu, Sotsu, Sakura Create, Bushiroad",,TMS Entertainment,"Action, Adventure, Demons, Game, Shounen",24,2011.0,668
35298,Ramen Daisuki Koizumi-san,Ms. Koizumi Loves Ramen Noodles,https://myanimelist.cdn-dena.com/images/anime/5/89876.jpg,Manga,12,Finished Airing,f,"Jan 4, 2018 to Mar 22, 2018","{'from': '2018-01-04', 'to': '2018-03-22'}",22 min. per ep.,PG-13 - Teens 13 or older,6.5,9524,5618,2047,31793,40,Winter 2018,Thursdays at 20:00 (JST),"Sotsu, KlockWorx, flying DOG, Grooove, Cygames, Crunchyroll SC Anime Fund",,"Studio Gokumi, AXsiZ","Slice of Life, Comedy",22,2018.0,407
2132,Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,,https://myanimelist.cdn-dena.com/images/anime/1/2268.jpg,Light novel,1,Finished Airing,f,"Apr 21, 2007","{'from': '2007-04-21', 'to': '2007-04-21'}",26 min.,PG-13 - Teens 13 or older,7.14,7279,3040,3171,14193,10,,,ASCII Media Works,,Seven Arcs,"Comedy, Supernatural, Magic, Romance, Ecchi",26,2007.0,902
4163,Seto no Hanayome OVA,Seto no Hanayome OVA,https://myanimelist.cdn-dena.com/images/anime/6/22426.jpg,Manga,2,Finished Airing,f,"Nov 3, 2008 to Jan 5, 2009","{'from': '2008-11-03', 'to': '2009-01-05'}",30 min. per ep.,PG-13 - Teens 13 or older,7.98,21309,584,1859,37266,32,,,AIC,,Gonzo,"Comedy, Parody, Romance, School",30,2008.0,2131
11266,Ao no Exorcist: Kuro no Iede,Blue Exorcist: Runaway Kuro,https://myanimelist.cdn-dena.com/images/anime/11/73495.jpg,Manga,1,Finished Airing,f,"Oct 26, 2011","{'from': '2011-10-26', 'to': '2011-10-26'}",24 min.,PG-13 - Teens 13 or older,7.41,41864,1961,1050,78548,80,,,Aniplex,Aniplex of America,A-1 Pictures,"Action, Demons, Fantasy, Shounen, Supernatural",24,2011.0,3260
12531,Sakamichi no Apollon,Kids on the Slope,https://myanimelist.cdn-dena.com/images/anime/12/79781.jpg,Manga,12,Finished Airing,f,"Apr 13, 2012 to Jun 29, 2012","{'from': '2012-04-13', 'to': '2012-06-29'}",22 min. per ep.,PG-13 - Teens 13 or older,8.44,93986,145,390,192993,4600,Spring 2012,Fridays at 00:45 (JST),"Dentsu, Fuji TV, Toho, DAX Production, Sony Music Entertainment",Sentai Filmworks,"Tezuka Productions, MAPPA","Drama, Josei, Music, Romance, School",22,2012.0,4828
1810,Kyoushirou to Towa no Sora,Shattered Angels,https://myanimelist.cdn-dena.com/images/anime/7/20958.jpg,Manga,12,Finished Airing,f,"Jan 5, 2007 to Mar 23, 2007","{'from': '2007-01-05', 'to': '2007-03-23'}",24 min. per ep.,PG-13 - Teens 13 or older,6.61,11084,5160,2015,32479,100,Winter 2007,Unknown,"Geneon Universal Entertainment, AT-X, KlockWorx, Studio Mausu, Toshiba Entertainment","ADV Films, Funimation",TNK,"Drama, Magic, Romance, Shounen",24,2007.0,1000
1947,Kikou Sennyo Rouran,Strange Steel Fairy Rouran,https://myanimelist.cdn-dena.com/images/anime/5/22629.jpg,Original,28,Finished Airing,f,"Nov 15, 2002 to May 30, 2003","{'from': '2002-11-15', 'to': '2003-05-30'}",12 min. per ep.,PG-13 - Teens 13 or older,5.97,228,7420,7811,1261,1,Fall 2002,Unknown,Starchild Records,,Zexcs,"Action, Fantasy, Mecha",12,2002.0,20
20159,Pokemon: The Origin,Pokémon: Origins,https://myanimelist.cdn-dena.com/images/anime/7/53701.jpg,Game,4,Finished Airing,f,"Oct 2, 2013","{'from': '2013-10-02', 'to': '2013-10-02'}",21 min. per ep.,PG - Children,7.89,81373,723,728,118192,451,,,,The Pokemon Company International,"Production I.G, Xebec, OLM","Action, Adventure, Comedy, Fantasy, Kids",21,2013.0,4124
2061,Gall Force 2: Destruction,,https://myanimelist.cdn-dena.com/images/anime/12/26520.jpg,Original,1,Finished Airing,f,"Nov 21, 1987","{'from': '1987-11-21', 'to': '1987-11-21'}",50 min.,R+ - Mild Nudity,6.55,855,5403,7150,1746,2,,,Movic,Central Park Media,"AIC, Artmic, Animate Film","Action, Military, Sci-Fi, Space",50,1987.0,88
